date,datatype,station,attributes,value
2014-08-30T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.04
2014-09-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.65
2014-09-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-09-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.02
2014-09-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.29
2014-09-11T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0800",0.0
2014-09-22T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.2
2014-09-30T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0846",1.43
2014-10-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0837",1.11
2014-11-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2015-05-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.57
2015-05-25T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2015-05-26T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0800",0.0
2015-05-27T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0800",0.0
2015-05-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.14
2015-05-29T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.06
2015-06-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.14
2015-06-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0841",0.08
2015-06-06T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.7
2015-06-07T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0903",0.03
2015-06-08T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0900",0.0
2015-06-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0918",0.04
2015-06-11T00:00:00,PRCP,GHCND:US1COAR0246,",,N,1017",0.02
2015-06-12T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0841",1.0
2015-06-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0840",0.17
2015-06-22T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0749",0.0
2015-06-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2015-07-03T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0852",0.13
2015-07-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,1043",0.33
2015-08-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.45
2015-08-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,1100",0.45
2015-08-12T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0840",1.61
2015-08-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.0
2015-08-16T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0933",0.22
2015-08-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2015-08-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",0.05
2015-09-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.15
2015-09-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2015-09-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0745",0.03
2015-10-03T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0828",0.04
2015-10-22T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",1.0
2015-10-23T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.49
2016-05-26T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0830",1.01
2016-05-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0943",0.36
2016-08-20T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.08
2016-08-25T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0802",0.14
2016-08-29T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0700",0.0
2017-05-14T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2017-06-21T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0800",0.0
2017-08-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.15
2017-08-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.77
2017-08-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2017-08-20T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2017-09-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2017-09-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2017-09-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2017-09-15T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0700",0.0
